,name
0,AF3
1,AF4
2,C1
3,C2
4,C3
5,C4
6,C5
7,C6
8,CP1
9,CP2
10,CP3
11,CP4
12,CP5
13,CP6
14,Cz
15,F1
16,F2
17,F3
18,F4
19,F5
20,F6
21,F7
22,F8
23,FC1
24,FC2
25,FC3
26,FC4
27,FC5
28,FC6
29,Fp1
30,Fp2
31,Fz
32,O1
33,O2
34,P1
35,P2
36,P3
37,P4
38,P5
39,P6
40,P7
41,P8
42,PO3
43,PO4
44,PO5
45,PO6
46,PO7
47,PO8
48,Pz
49,T7
50,T8
51,TP7
52,TP8
