,name
0,Fp1
1,Fp2
2,F3
3,F4
4,C3
5,C4
6,P3
7,P4
8,O1
9,O2
10,F7
11,F8
12,T7
13,T8
14,P7
15,P8
16,Fz
17,Cz
18,Pz
19,F1
20,F2
21,P1
22,P2
23,AF3
24,AF4
25,P5
26,P6
27,FC5
28,FC6
29,C5
30,C6
31,TP7
32,TP8
33,PO5
34,PO6
35,PO3
36,PO4
37,CP1
38,CP2
39,CP3
40,CP4
41,C1
42,C2
43,F5
44,F6
45,FC3
46,FC4
47,FC1
48,FC2
49,CP5
50,CP6
51,PO7
52,PO8
